comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
1,1,1,LZ,SM,3,N,SM,N,N,1N_1N,SM_WS,677857.1429,34,226666666.7
1,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
1,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
1,1,1,WT,WS,1,N,WS,N,N,1N_1N,SM_WS,773035.7143,5,33333333.33
10,0,2,LZ,SM,3,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,338928.5714,57,3.80E+08
10,0,2,LZ,WS,3,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,30294.64286,7,46666666.67
10,0,2,WT,SM,NA,N,SM,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
10,0,2,WT,WS,NA,N,WS,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
100,2,2,LZ,SM,7,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,200803.5714,61,406666666.7
100,2,2,LZ,WS,6,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,200803.5714,10,66666666.67
100,2,2,WT,SM,10,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,432946.4286,13,86666666.67
100,2,2,WT,WS,10,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,247232.1429,4,26666666.67
101,2,2,LZ,SM,6,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,359821.4286,302,201333333.3
101,2,2,LZ,WS,6,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,200803.5714,26,17333333.33
101,2,2,WT,SM,10,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,432946.4286,47,31333333.33
101,2,2,WT,WS,9,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,292500,17,11333333.33
102,2,2,LZ,SM,7,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,200803.5714,128,85333333.33
102,2,2,LZ,WS,7,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,184553.5714,3,2.00E+06
102,2,2,WT,SM,9,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,358660.7143,87,5.80E+07
102,2,2,WT,WS,10,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,247232.1429,4,2666666.667
103,2,2,LZ,SM,6,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,359821.4286,947,631333333.3
103,2,2,LZ,WS,6,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,200803.5714,142,94666666.67
103,2,2,WT,SM,9,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,358660.7143,123,8.20E+07
103,2,2,WT,WS,10,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,247232.1429,84,5.60E+07
104,2,2,LZ,SM,7,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,200803.5714,69,4600000
104,2,2,LZ,WS,7,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,184553.5714,2,133333.3333
104,2,2,WT,SM,10,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,432946.4286,81,5400000
104,2,2,WT,WS,9,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,292500,8,533333.3333
105,1,1,LZ,SM,8,N,SM,N,N,1N_1N,SM_WS,503750,435,2.90E+08
105,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
105,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
105,1,1,WT,WS,11,N,WS,N,N,1N_1N,SM_WS,650000,604,402666666.7
106,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,0,NA
106,1,1,LZ,WS,8,N,WS,N,N,1N_1N,WS_SM,369107.1429,1811,1207333333
106,1,1,WT,SM,11,N,SM,N,N,1N_1N,WS_SM,689464.2857,104,69333333.33
106,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
107,1,1,LZ,SM,8,N,SM,N,N,1N_1N,SM_SM,503750,77,513333333.3
107,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
107,1,1,WT,SM,11,N,SM,N,N,1N_1N,SM_SM,689464.2857,15,1.00E+08
107,1,1,WT,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
108,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,0,NA
108,1,1,LZ,WS,8,N,WS,N,N,1N_1N,WS_WS,369107.1429,313,2086666667
108,1,1,WT,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,0,NA
108,1,1,WT,WS,11,N,WS,N,N,1N_1N,WS_WS,650000,205,1366666667
